trial_id,timestamp,run_label,seed,arm,trial_number,learning_rate,init_method,steps_to_threshold
1,2026-09-01 13:50:58,gate3b_restricted_search,100,reference,0,0.004430375245218269,xavier,29.0
2,2026-09-01 13:50:58,gate3b_restricted_search,100,reference,1,0.0018662266976517971,orthogonal,53.0
3,2026-09-01 13:50:58,gate3b_restricted_search,100,reference,2,0.07780155576901421,he,32.0
4,2026-09-01 13:50:58,gate3b_restricted_search,100,reference,3,0.005059803874660437,xavier,27.0
5,2026-09-01 13:50:59,gate3b_restricted_search,100,reference,4,0.00011498870747119459,orthogonal,726.0
6,2026-09-01 13:50:59,gate3b_restricted_search,100,reference,5,0.08626905220714905,xavier,21.0
7,2026-09-01 13:50:59,gate3b_restricted_search,100,reference,6,0.00022637229697395497,orthogonal,377.0
8,2026-09-01 13:50:59,gate3b_restricted_search,100,reference,7,0.0036774346621052147,orthogonal,39.0
9,2026-09-01 13:50:59,gate3b_restricted_search,100,reference,8,0.0023358825194833557,orthogonal,39.0
10,2026-09-01 13:50:59,gate3b_restricted_search,100,reference,9,0.006859416411328701,he,21.0
11,2026-09-01 13:50:59,gate3b_restricted_search,100,reference,10,0.07162629642639848,xavier,22.0
12,2026-09-01 13:50:59,gate3b_restricted_search,100,reference,11,0.017485554771265593,he,18.0
13,2026-09-01 13:50:59,gate3b_restricted_search,100,reference,12,0.02365310875574803,he,17.0
14,2026-09-01 13:50:59,gate3b_restricted_search,100,reference,13,0.020527514539894275,he,19.0
15,2026-09-01 13:50:59,gate3b_restricted_search,100,reference,14,0.021178889448851296,he,19.0
16,2026-09-01 13:50:59,gate3b_restricted_search,100,reference,15,0.019538640473986794,he,19.0
17,2026-09-01 13:50:59,gate3b_restricted_search,100,reference,16,0.0010055658350726655,he,30.0
18,2026-09-01 13:50:59,gate3b_restricted_search,100,reference,17,0.01193384255251929,he,18.0
19,2026-09-01 13:50:59,gate3b_restricted_search,100,reference,18,0.03981223497954702,he,19.0
20,2026-09-01 13:50:59,gate3b_restricted_search,100,reference,19,0.009999479335111094,he,24.0
21,2026-09-01 13:50:59,gate3b_restricted_search,100,reference,20,0.0341736635754302,he,26.0
22,2026-09-01 13:50:59,gate3b_restricted_search,100,reference,21,0.013323622702599468,he,18.0
23,2026-09-01 13:50:59,gate3b_restricted_search,100,reference,22,0.035223959932036815,he,19.0
24,2026-09-01 13:50:59,gate3b_restricted_search,100,reference,23,0.010155063855043101,he,24.0
25,2026-09-01 13:50:59,gate3b_restricted_search,100,reference,24,0.0009707823650633962,he,30.0
26,2026-09-01 13:50:59,gate3b_restricted_search,100,reference,25,0.045538427175090365,he,28.0
27,2026-09-01 13:50:59,gate3b_restricted_search,100,reference,26,0.014987973142042402,he,18.0
28,2026-09-01 13:51:00,gate3b_restricted_search,100,reference,27,0.007707323193617752,he,25.0
29,2026-09-01 13:51:00,gate3b_restricted_search,100,reference,28,0.027473600684153016,xavier,14.0
30,2026-09-01 13:51:00,gate3b_restricted_search,100,reference,29,0.027648972317964114,xavier,14.0
31,2026-09-01 13:51:00,gate3b_restricted_search,100,reference,30,0.028012841221766383,xavier,14.0
32,2026-09-01 13:51:00,gate3b_restricted_search,100,reference,31,0.029499994549465225,xavier,14.0
33,2026-09-01 13:51:00,gate3b_restricted_search,100,reference,32,0.05374024454114598,xavier,19.0
34,2026-09-01 13:51:00,gate3b_restricted_search,100,reference,33,0.09765545336818464,xavier,21.0
35,2026-09-01 13:51:00,gate3b_restricted_search,100,reference,34,0.031086368187028285,xavier,14.0
36,2026-09-01 13:51:00,gate3b_restricted_search,100,reference,35,0.05310921312514177,xavier,19.0
37,2026-09-01 13:51:00,gate3b_restricted_search,100,reference,36,0.06192390626977749,xavier,26.0
38,2026-09-01 13:51:00,gate3b_restricted_search,100,reference,37,0.030086168949411674,xavier,14.0
39,2026-09-01 13:51:00,gate3b_restricted_search,100,reference,38,0.005049569983967827,xavier,27.0
40,2026-09-01 13:51:00,gate3b_restricted_search,100,reference,39,0.037855372826383855,xavier,14.0
41,2026-09-01 13:51:00,gate3b_restricted_search,100,cold,0,0.0017826497151386949,xavier,38.0
42,2026-09-01 13:51:00,gate3b_restricted_search,100,cold,1,0.0002755926764027377,orthogonal,292.0
43,2026-09-01 13:51:00,gate3b_restricted_search,100,cold,2,0.0015498955191377143,orthogonal,53.0
44,2026-09-01 13:51:00,gate3b_restricted_search,100,cold,3,0.00041054120168588934,xavier,156.0
45,2026-09-01 13:51:00,gate3b_restricted_search,100,cold,4,0.001786135519762597,xavier,38.0
46,2026-09-01 13:51:00,gate3b_restricted_search,100,cold,5,0.025248390936171015,xavier,25.0
47,2026-09-01 13:51:00,gate3b_restricted_search,100,cold,6,0.04257625486011382,xavier,20.0
48,2026-09-01 13:51:00,gate3b_restricted_search,100,cold,7,0.0003232148147351276,xavier,204.0
49,2026-09-01 13:51:01,gate3b_restricted_search,100,cold,8,0.07475987911298648,he,34.0
50,2026-09-01 13:51:01,gate3b_restricted_search,100,cold,9,0.011468398705751582,xavier,16.0
51,2026-09-01 13:51:01,gate3b_restricted_search,100,cold,10,0.013520030930076584,he,14.0
52,2026-09-01 13:51:01,gate3b_restricted_search,100,cold,11,0.012050318703919807,he,18.0
53,2026-09-01 13:51:01,gate3b_restricted_search,100,cold,12,0.008901992342500538,he,25.0
54,2026-09-01 13:51:01,gate3b_restricted_search,100,cold,13,0.007480156754080965,he,25.0
55,2026-09-01 13:51:01,gate3b_restricted_search,100,cold,14,0.01743266588357272,he,18.0
56,2026-09-01 13:51:01,gate3b_restricted_search,100,informed_restricted,0,0.0017826497151386949,orthogonal,53.0
57,2026-09-01 13:51:01,gate3b_restricted_search,100,informed_restricted,1,0.01448683388723935,orthogonal,16.0
58,2026-09-01 13:51:01,gate3b_restricted_search,100,informed_restricted,2,0.00010007903854383786,orthogonal,1600.0
59,2026-09-01 13:51:02,gate3b_restricted_search,100,informed_restricted,3,0.0008072307884499761,orthogonal,110.0
60,2026-09-01 13:51:02,gate3b_restricted_search,100,informed_restricted,4,0.0002755926764027377,orthogonal,292.0
61,2026-09-01 13:51:02,gate3b_restricted_search,100,informed_restricted,5,0.00018924123965722266,orthogonal,464.0
62,2026-09-01 13:51:02,gate3b_restricted_search,100,informed_restricted,6,0.0003620600725744741,orthogonal,248.0
63,2026-09-01 13:51:02,gate3b_restricted_search,100,informed_restricted,7,0.001088133500363589,orthogonal,81.0
64,2026-09-01 13:51:02,gate3b_restricted_search,100,informed_restricted,8,0.0015498955191377143,orthogonal,53.0
65,2026-09-01 13:51:02,gate3b_restricted_search,100,informed_restricted,9,0.00413475900783472,orthogonal,37.0
66,2026-09-01 13:51:03,gate3b_restricted_search,100,informed_restricted,10,0.09290791998691832,orthogonal,20.0
67,2026-09-01 13:51:03,gate3b_restricted_search,100,informed_restricted,11,0.07785058870653301,orthogonal,25.0
68,2026-09-01 13:51:03,gate3b_restricted_search,100,informed_restricted,12,0.0797234062203645,orthogonal,25.0
69,2026-09-01 13:51:03,gate3b_restricted_search,100,informed_restricted,13,0.017223705768801514,orthogonal,21.0
70,2026-09-01 13:51:03,gate3b_restricted_search,100,informed_restricted,14,0.02354874493860281,orthogonal,21.0
71,2026-09-01 13:51:03,gate3b_restricted_search,100,universal_restricted,0,0.0017826497151386949,xavier,38.0
72,2026-09-01 13:51:03,gate3b_restricted_search,100,universal_restricted,1,0.01448683388723935,xavier,15.0
73,2026-09-01 13:51:03,gate3b_restricted_search,100,universal_restricted,2,0.00010007903854383786,xavier,635.0
74,2026-09-01 13:51:03,gate3b_restricted_search,100,universal_restricted,3,0.0008072307884499761,xavier,86.0
75,2026-09-01 13:51:03,gate3b_restricted_search,100,universal_restricted,4,0.0002755926764027377,xavier,226.0
76,2026-09-01 13:51:04,gate3b_restricted_search,100,universal_restricted,5,0.00018924123965722266,xavier,338.0
77,2026-09-01 13:51:04,gate3b_restricted_search,100,universal_restricted,6,0.0003620600725744741,xavier,181.0
78,2026-09-01 13:51:04,gate3b_restricted_search,100,universal_restricted,7,0.001088133500363589,xavier,53.0
79,2026-09-01 13:51:04,gate3b_restricted_search,100,universal_restricted,8,0.0015498955191377143,xavier,51.0
80,2026-09-01 13:51:04,gate3b_restricted_search,100,universal_restricted,9,0.00413475900783472,xavier,32.0
81,2026-09-01 13:51:04,gate3b_restricted_search,100,universal_restricted,10,0.09290791998691832,xavier,21.0
